Name;Pago;Despacho;Moneda;Subtotal;Precio despacho;Total;Desc monto;Shipping Method;Cantidad;Producto;Precio oferta;Precio normal;SKU;status despacho;Ciudad;Codigo postal;Region
#43352;Pagado;Incompleto;CLP;19980;0;19980;0;Retiro en tienda;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;49990;1003204038;pending;Puente alto;SANTIAGO;RM
#43352;;;;;;;;;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 37;9990;39990;0023072937;pending;;;
#43351;Pagado;Sin despacho;CLP;31984;0;31984;7996;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39990;6001202038;pending;Condes;CONFES;RM
#43350;Pagado;Sin despacho;CLP;31984;0;31984;7996;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39990;6001202038;pending;Condes;CONDES;RM
#43349;Pagado;Sin despacho;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 37;19990;39990;8802072037;pending;Las Condes ;SANTIAGO;RM
#43348;Pagado;Sin despacho;CLP;19990;0;19990;0;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 39;19990;39990;8172078539;pending;Las condes;SANTIAGO;RM
#43347;Pagado;Sin despacho;CLP;39980;12990;52970;0;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;49990;1003202037;pending;Ovalle ;OVALLE;CO
#43347;;;;;;;;;1;Zapatilla Chester Blanco Premium - Blanco / 38;19990;49990;1000071038;pending;;;
#43346;Pagado;Sin despacho;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 36;19990;49990;1003202036;pending;Confes;CONFES;RM
#43345;Pagado;Sin despacho;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;39990;8381072035;pending;Conxes;CONDES;RM
#43344;Pagado;Sin despacho;CLP;19990;8290;28280;0;Despacho Region;1;Botin Bucarest Taupe Premium - Taupe / 40;19990;39990;3332184240;pending;Rancagua, (galilea F );RANCAGUA;LI
#43343;Pagado;Sin despacho;CLP;22960;9990;32950;0;Despacho Region Metropolitana;3;Calcetin   Premium - Blanco / TamaÃ±o Ã_nico;990;3990;0007501000;pending;Las Condes;'167547087;RM
#43343;;;;;;;;;1;Botin Bucarest Taupe Premium - Taupe / 40;19990;39990;3332184240;pending;;;
#43342;Pagado;Despachado;CLP;29990;0;29990;0;Retiro en tienda;1;Zapatilla Angelica Blanco Premium - Blanco / 36;29990;;0100071036;fulfilled;Vitacura;SANTIAGO;RM
#43341;Pagado;Sin despacho;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;pending;Concepcion ;CONCEPCION;BI
#43340;Pagado;Sin despacho;CLP;29990;3990;33980;0;Despacho Region Metropolitana;1;Zapatilla Angelica Negro Premium - Negro / 39;29990;;0100072039;pending;Buin;SANTIAGO;RM
#43339;Pagado;Sin despacho;CLP;31984;0;31984;7996;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;49990;1003202039;pending;mxnn;KZJ;RM
#43339;;;;;;;;;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;49990;1003202038;pending;;;
#43338;Pagado;Despachado;CLP;9990;3990;13980;0;Despacho Region Metropolitana;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 38;9990;39990;0023072938;fulfilled;Melipilla ;MELIPILLA;RM
#43337;Pagado;Sin despacho;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;pending;quilpue;QUILPUE;VS
#43336;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Bota  Cleveland Negro Premium - Negro / 39;19990;89990;0001002039;fulfilled;Las Condes;'7610368;RM
#43335;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;Condes;CONFES;RM
#43334;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;49990;1003202038;fulfilled;Villa alemana;VILLAALEMANA;VS
#43333;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;39990;6001202035;fulfilled;Condes;CONFES;RM
#43332;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;39990;8381072035;fulfilled;Condes;CONDES;RM
#43331;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;villa alemana;;RM
